Time,AMFIsolate,Fertilizer,Tillage,SoilpH,SoilP,ShootP,ShootBiomass.g,RootBiomass.g,TotalBiomass.g,RootShootRatio,ShootPMR,ShootMR,RootMR,TotalBiomassMR,RootShootRatioMR
2,Cuba8,No,NoTill,6.54,31.02,0.58,1.05,5.29,6.34,5.04,-0.05678781,-0.045454545,0.06012024,0.042763158,0.049603175
2,Cuba8,No,NoTill,5.96,40.5,0.37,1,1.42,2.42,1.42,-0.390013438,-0.090909091,-0.715430862,-0.601973684,-0.704166667
2,Cuba8,No,NoTill,NA,NA,NA,1.01,1.07,2.08,1.06,NA,-0.081818182,-0.785571142,-0.657894737,-0.779290429
2,Cuba8,No,NoTill,6.26,100.16,0.69,1.03,2.5,3.53,2.43,0.123346433,-0.063636364,-0.498997996,-0.419407895,-0.49433657
2,DAOM197198,No,NoTill,6.22,44.63,0.59,0.94,2.55,3.49,2.71,-0.026331153,-0.145454545,-0.488977956,-0.425986842,-0.434840426
2,DAOM197198,No,NoTill,6.14,39.53,0.56,1.15,2.34,3.49,2.03,-0.077318616,0.045454545,-0.531062124,-0.425986842,-0.576086957
2,DAOM197198,No,NoTill,5.65,59.16,0.6,1.06,13.9,14.96,13.11,-0.010454031,-0.036363636,1.785571142,1.460526316,1.731918239
2,DAOM197198,No,NoTill,NA,NA,NA,0.94,1.16,2.1,1.23,NA,-0.145454545,-0.76753507,-0.654605263,-0.742907801
2,DAOM197198,No,NoTill,NA,NA,NA,0.85,0.94,1.79,1.11,NA,-0.227272727,-0.811623246,-0.705592105,-0.769607843
2,DAOM197198,No,NoTill,NA,NA,NA,0.66,1.56,2.22,2.36,NA,-0.4,-0.687374749,-0.634868421,-0.507575758
2,DAOM197198,No,NoTill,NA,NA,NA,0.58,0.13,0.71,0.22,NA,-0.472727273,-0.973947896,-0.883223684,-0.953304598
2,DAOM197198,No,NoTill,5.82,35.04,0.48,1.21,15.35,16.56,12.69,-0.213545282,0.1,2.076152305,1.723684211,1.642906336
2,DAOM197198,No,NoTill,6.26,32.52,0.63,1.14,7.5,8.64,6.58,0.034263342,0.036363636,0.503006012,0.421052632,0.370614035
2,DAOM197198,No,NoTill,NA,NA,NA,0.77,1.19,1.96,1.55,NA,-0.3,-0.761523046,-0.677631579,-0.678030303
2,CC4,No,Till,5.16,60.28,0.48,1.96,0.5,2.46,0.26,-0.209335246,0.97979798,-0.885844749,-0.541899441,-0.946631372
2,CC4,No,Till,NA,NA,NA,1.19,1.52,2.71,1.28,NA,0.202020202,-0.652968037,-0.495344507,-0.732780141
2,CC4,No,Till,NA,NA,NA,0.96,0.83,1.79,0.86,NA,-0.03030303,-0.810502283,-0.666666667,-0.819124826
2,CC4,No,Till,6.46,41.65,0.56,1.01,10.25,11.26,10.15,-0.083194883,0.02020202,1.340182648,1.096834264,1.123120262
2,CC4,No,Till,5.9,45.11,0.81,0.77,2.66,3.43,3.45,0.335853189,-0.222222222,-0.392694064,-0.361266294,-0.277291746
2,CC4,No,Till,NA,NA,NA,0.89,0.36,1.25,0.4,NA,-0.101010101,-0.917808219,-0.767225326,-0.915377744
2,CC4,No,Till,NA,NA,NA,0.89,0.82,1.71,0.92,NA,-0.101010101,-0.812785388,-0.681564246,-0.807249307
2,CC4,No,Till,NA,NA,NA,1.16,1.68,2.84,1.45,NA,0.171717172,-0.616438356,-0.47113594,-0.697013418
2,CC4,No,Till,5.84,65.9,0.46,1.26,1.5,2.76,1.19,-0.245256826,0.272727273,-0.657534247,-0.48603352,-0.750946404
2,CC4,No,Till,6,47.4,0.34,1.32,1.67,2.99,1.27,-0.440464673,0.333333333,-0.618721461,-0.44320298,-0.735323951
2,Cuba8,No,Till,NA,NA,NA,1.02,2.93,3.95,2.87,NA,0.03030303,-0.331050228,-0.26443203,-0.399048322
2,Cuba8,No,Till,5.84,54.32,0.63,0.95,3.35,4.3,3.53,0.029216985,-0.04040404,-0.235159817,-0.199255121,-0.262277031
2,Cuba8,No,Till,NA,NA,NA,0.75,1.24,1.99,1.65,NA,-0.242424242,-0.716894977,-0.629422719,-0.654114365
2,Cuba8,No,Till,5.71,47.51,0.41,1.05,3.08,4.13,2.93,-0.325365485,0.060606061,-0.296803653,-0.230912477,-0.386331939
2,Cuba8,No,Till,NA,NA,NA,1.42,0.79,2.21,0.56,NA,0.434343434,-0.819634703,-0.588454376,-0.883611291
2,Cuba8,No,Till,NA,NA,NA,1.52,0.75,2.27,0.49,NA,0.535353535,-0.828767123,-0.577281192,-0.896773838
2,Cuba8,No,Till,6.32,48.99,0.67,0.49,3.94,4.43,8.04,0.101412768,-0.505050505,-0.100456621,-0.175046555,0.682179148
2,Cuba8,No,Till,6.25,39.52,0.62,0.67,0.36,1.03,0.54,0.024267605,-0.323232323,-0.917808219,-0.808193669,-0.887591332
2,Cuba8,No,Till,NA,NA,NA,0.72,0.57,1.29,0.79,NA,-0.272727273,-0.869863014,-0.759776536,-0.834379358
2,Cuba8,No,Till,5.76,59.64,0.62,1.13,2.96,4.09,2.62,0.014035299,0.141414141,-0.324200913,-0.238361266,-0.451993928
2,DAOM197198,No,Till,6.21,35.47,0.39,1.03,2.29,3.32,2.22,-0.354698795,0.04040404,-0.47716895,-0.381750466,-0.534874274
2,DAOM197198,No,Till,NA,NA,NA,0.95,1.27,2.22,1.34,NA,-0.04040404,-0.710045662,-0.586592179,-0.720325919
2,DAOM197198,No,Till,NA,NA,NA,1.04,4.58,5.62,4.4,NA,0.050505051,0.0456621,0.046554935,-0.078693273
2,DAOM197198,No,Till,6.59,34.48,0.53,1.17,2.21,3.38,1.89,-0.128971025,0.181818182,-0.49543379,-0.370577281,-0.60483496
2,DAOM197198,No,Till,6.03,59.91,0.7,1.14,3.08,4.22,2.7,0.151454444,0.151515152,-0.296803653,-0.2141527,-0.434779417
2,DAOM197198,No,Till,5.89,36.36,0.6,0.88,5.93,6.81,6.74,-0.012956463,-0.111111111,0.353881279,0.268156425,0.409756561
2,DAOM197198,No,Till,NA,NA,NA,0.78,0.86,1.64,1.1,NA,-0.212121212,-0.803652968,-0.694599628,-0.769338054
2,DAOM197198,No,Till,NA,NA,NA,0.92,0.91,1.83,0.99,NA,-0.070707071,-0.792237443,-0.659217877,-0.793068947
2,DAOM197198,No,Till,NA,NA,NA,0.76,1.04,1.8,1.37,NA,-0.232323232,-0.762557078,-0.664804469,-0.713719445
2,DAOM197198,No,Till,6.01,43.93,0.67,0.83,2.8,3.63,3.37,0.093926858,-0.161616162,-0.360730594,-0.324022346,-0.294248122
4,CC4,High,NoTill,5.55,78.91,0.22,3.94,18.84,22.78,4.78,-0.245675965,-0.751262626,1.206088993,-0.065627564,8.022124318
4,CC4,High,NoTill,5.25,201.89,0.27,14.07,23.52,37.59,1.67,-0.069353293,-0.111742424,1.754098361,0.541837572,2.154041115
4,CC4,High,NoTill,5.52,166.1,0.23,14.56,5.86,20.42,0.4,-0.223185392,-0.080808081,-0.31381733,-0.16242822,-0.240617873
4,CC4,High,NoTill,NA,NA,NA,14.32,4.56,18.88,0.32,NA,-0.095959596,-0.466042155,-0.22559475,-0.399177822
