Sample,Family,Genus,Species,Species_name,Abundance
12,Glomeraceae,Glomus,VTX00100,VTX00100,0
12,Glomeraceae,Glomus,VTX00101,VTX00101,0
12,Glomeraceae,Glomus,VTX00104,VTX00104,0
12,Glomeraceae,Glomus,VTX00108,VTX00108,2
12,Glomeraceae,Glomus,VTX00109,VTX00109,6
12,Glomeraceae,Glomus,VTX00111,VTX00111,0
12,Glomeraceae,Glomus,VTX00112,VTX00112,0
12,Glomeraceae,Glomus,VTX00113,VTX00113,7
12,Glomeraceae,Glomus,VTX00114,VTX00114,12
12,Glomeraceae,Glomus,VTX00121,VTX00121,1
12,Glomeraceae,Glomus,VTX00122,VTX00122,0
12,Glomeraceae,Glomus,VTX00124,VTX00124,0
12,Glomeraceae,Glomus,VTX00130,VTX00130,0
12,Glomeraceae,Glomus,VTX00132,VTX00132,4
12,Glomeraceae,Glomus,VTX00135,VTX00135,0
12,Glomeraceae,Glomus,VTX00137,VTX00137,0
12,Glomeraceae,Glomus,VTX00143,VTX00143,0
12,Glomeraceae,Glomus,VTX00146,VTX00146,0
12,Glomeraceae,Glomus,VTX00149,VTX00149,0
12,Glomeraceae,Glomus,VTX00151,VTX00151,0
12,Glomeraceae,Glomus,VTX00154,VTX00154,0
12,Glomeraceae,Glomus,VTX00155,VTX00155,0
12,Glomeraceae,Glomus,VTX00156,VTX00156,8
12,Glomeraceae,Glomus,VTX00167,VTX00167,0
12,Glomeraceae,Glomus,VTX00174,VTX00174,5
12,Glomeraceae,Glomus,VTX00175,VTX00175,0
12,Glomeraceae,Glomus,VTX00177,VTX00177,0
12,Glomeraceae,Glomus,VTX00178,VTX00178,0
12,Glomeraceae,Glomus,VTX00183,VTX00183,0
12,Glomeraceae,Glomus,VTX00191,VTX00191,0
12,Claroideoglomeraceae,Claroideoglomus,VTX00193,VTX00193,0
12,Glomeraceae,Glomus,VTX00194,VTX00194,0
12,Glomeraceae,Glomus,VTX00197,VTX00197,0
12,Glomeraceae,Glomus,VTX00206,VTX00206,2
12,Glomeraceae,Glomus,VTX00209,VTX00209,28
12,Glomeraceae,Glomus,VTX00212,VTX00212,0
12,Glomeraceae,Glomus,VTX00213,VTX00213,15
12,Glomeraceae,Glomus,VTX00214,VTX00214,2
12,Glomeraceae,Glomus,VTX00216,VTX00216,5
12,Glomeraceae,Glomus,VTX00222,VTX00222,0
12,Acaulosporaceae,Acaulospora,VTX00231,VTX00231,0
12,Glomeraceae,Glomus,VTX00233,VTX00233,14
12,Glomeraceae,Glomus,VTX00234,VTX00234,0
12,Glomeraceae,Glomus,VTX00235,VTX00235,11
12,Claroideoglomeraceae,Claroideoglomus,VTX00237,VTX00237,0
12,Paraglomeraceae,Paraglomus,VTX00238,VTX00238,7
12,Glomeraceae,Glomus,VTX00247,VTX00247,0
12,Glomeraceae,Glomus,VTX00248,VTX00248,0
12,Gigasporaceae,Scutellospora,VTX00255,VTX00255,0
12,Gigasporaceae,Scutellospora,VTX00260,VTX00260,0
12,Diversisporaceae,Diversispora,VTX00263,VTX00263,0
12,Claroideoglomeraceae,Claroideoglomus,VTX00276,VTX00276,64
12,Paraglomeraceae,Paraglomus,VTX00281,VTX00281,1517
12,Glomeraceae,Glomus,VTX00287,VTX00287,1
12,Glomeraceae,Glomus,VTX00294,VTX00294,0
12,Glomeraceae,Glomus,VTX00301,VTX00301,0
12,Glomeraceae,Glomus,VTX00304,VTX00304,8
12,Diversisporaceae,Diversispora,VTX00306,VTX00306,6
12,Paraglomeraceae,Paraglomus,VTX00308,VTX00308,221
12,Glomeraceae,Glomus,VTX00310,VTX00310,0
