phylum,kingdom,CC4_203_high_fert,CC4_261_no_fert,CC4_264_no_fert_till,CC4_284_high_fert,CC4_287_high_fert_till,CC4_304_no_fert,CC4_309_high_fert,CC4_50_high_fert_till,CC4_59_no_fert_till,CC4_82_no_fert_till,CC4_93_no_fert,Cuba8_248_no_fert_till,Cuba8_254_no_fert,Cuba8_260_no_fert_till,Cuba8_263_high_fert_till,Cuba8_279_no_fert,Cuba8_308_no_fert_till,Cuba8_315_high_fert,Cuba8_320_high_fert_till,Cuba8_7_high_fert_till,Cuba8_8_high_fert,DAOM197198_104_no_fert,DAOM197198_150_high_fert_till,DAOM197198_158_high_fert,DAOM197198_16_high_fert_till,DAOM197198_18_no_fert,DAOM197198_210_no_fert_till,DAOM197198_235_no_fert,DAOM197198_240_no_fert_till,DAOM197198_286_high_fert_till,DAOM197198_40_no_fert_till,DAOM197198_5_high_fert,DAOM197198_72_high_fert,Control_125_high_fert,Control_128_high_fert_till,Control_139_no_fert_till,Control_17_no_fert,Control_23_no_fert_till,Control_25_high_fert_till,Control_30_high_fert,Control_33_high_fert,Control_52_no_fert,Control_71_no_fert_till,Control_74_no_fert,Control_95_high_fert_till
Pseudomonadota,Bacteria,12784.91118,13798.06513,25370.08665,19784.28678,16386.86422,20699.85682,23609.18421,21990.31662,11462.49277,12861.114,10936.50283,12320.20204,14002.97687,14570.83283,14011.46851,10200.4276,20192.42791,18729.90368,23222.10454,31254.85752,14708.24405,0,20247.49478,22113.66456,27256.2154,15586.45142,16111.58538,22629.18854,17851.11086,20379.45923,15127.55076,31319.44221,25654.68157,11305.03482,11963.67284,14296.76061,18072.97305,11260.4422,13506.1243,22366.85593,16525.96649,8947.574018,8048.797674,10023.41148,14962.52125
Rhodothermota,Bacteria,23.80212786,26.67687065,44.78067389,16.74153426,11.25384826,62.99216971,14.0339902,7.538338755,14.25353449,16.09009003,8.040109983,40.22982184,33.18998752,94.11612261,20.27847088,31.15618963,79.88949971,46.17597414,36.41006043,15.25687728,23.00822181,0,18.25719246,53.21092497,0,54.03822633,66.338972,71.78598831,127.7018823,48.72208603,17.25672015,26.65635478,19.3862562,14.81469241,20.07238479,30.37615407,19.91586381,14.77353285,4.745095083,10.03470341,6.700982471,16.13663511,7.026747363,15.93561822,6.61932446
Spirochaetota,Bacteria,10.64492842,28.10356728,52.08554043,11.81155392,9.399603956,20.3156068,20.42532678,19.42492888,45.46268179,25.62182175,9.766757989,31.49611649,33.98955844,31.22433759,18.76075705,23.58021656,36.40065375,45.54611539,26.98945026,35.85215867,31.26422907,0,11.85798712,13.13492969,0,29.75355269,38.59196459,36.52326343,17.7169793,10.95702894,17.91604038,33.0712241,23.24186009,5.242257167,5.547724804,17.52161188,53.34397369,8.896606696,3.531604678,8.275570766,10.47020532,10.41428132,7.329330966,4.838177704,9.310597689
Synergistota,Bacteria,0.456501176,0.805666204,6.481962727,0.770175344,0.337015172,1.762865519,1.200897502,1.032362672,0.880372306,1.22130263,0.624535019,1.725797726,1.658242201,1.2704478,1.457657687,1.108523527,2.923194631,0.7613764,1.72952802,2.794401013,0.369259174,0,0.845665383,2.265784165,0,0.557976308,2.825524482,2.948739983,3.106902136,0.412810855,0.922846849,0,0.333419462,0.129097717,0.254113373,3.419352871,3.497049893,1.08465649,0.430493704,0.486433481,0.433771221,0.622035189,0.771099082,0,0.660015497
Thermodesulfobacteriota,Bacteria,10405.16622,4284.69321,287.180254,2869.968707,2030.054668,6359.384227,3836.470358,6120.561555,129.7509145,775.0476408,143.4524011,91.96561483,141.4725576,159.7793564,147.1259844,110.4362864,188.1860031,87.23527147,155.5665289,59.12662948,39.23879959,0,115.6257245,191.6319353,138.419134,163.7968579,209.083459,185.6031478,112.9677858,277.2001167,60.74380054,235.3703377,83.04813315,23.44706732,38.86824962,81.10507669,142.3937741,40.02130364,51.31843907,32.14746782,29.92788222,40.77597368,26.83794027,28.4465916,25.89624447
Thermodesulfobiota,Bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090569445,0.303421188,0.134632945,0.147076578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermomicrobiota,Bacteria,433.2306154,348.5805035,343.0486392,666.8018921,627.0543972,618.8724577,755.1074255,919.7408532,359.8342973,265.2768787,183.0874705,258.8723115,265.4244845,334.0989012,784.5805796,284.9280819,468.5102237,707.8022212,755.2912041,1260.325016,538.2691994,0,907.8839575,730.3366218,364.3958605,419.6374552,431.5431508,436.669502,325.3678773,821.1771205,388.7900469,1354.844691,1702.448948,3358.109884,1185.962783,297.0529768,351.9467303,235.5573326,572.2420022,513.9544819,502.6308702,196.5508305,209.7847661,287.8762064,455.3623802
Thermoplasmatota,Archaea,5.623015859,23.71828577,163.7564759,5.868830068,4.221374686,189.9893783,25.86801157,5.95207794,7.621447729,6.923698982,6.747786236,104.0816147,83.94683155,53.22184549,10.9531134,125.6090365,22.19531738,4.851690714,10.33670854,5.750204961,2.108574381,0,6.532206384,3.343467469,59.33312865,8.791667386,20.76000185,61.73856598,9.313438813,7.050821822,6.354371337,7.782290342,7.920989937,1.766311121,2.221596451,6.698654713,8.862134702,3.955008537,1.012773987,1.990649839,2.167086783,3.924137886,8.334485322,3.002156985,4.24767847
Thermoproteota,Archaea,12.58441332,22.47747444,21.05796038,41.3835419,11.24934147,56.10199754,25.65618193,6.329357287,2.448644178,2.295602871,1.155131651,7.379232753,7.404799576,5.840145045,25.01377926,10.24021653,11.20105693,17.65839226,29.5896529,7.084402785,18.95080478,0,15.46756545,14.33786658,0,9.649558165,12.10549658,9.967981518,5.313765444,21.25836655,1.105081279,9.255332379,8.361000352,5.635886026,8.863931685,3.656557346,14.09467566,3.021350679,5.699175504,4.850731958,4.19307372,1.413925134,2.625217179,1.317104833,3.792326201
Thermosulfidibacterota,Bacteria,0,0,0.324122242,0,0,0.369396449,0.27943996,0.171175474,0,0.142288107,0,0.57101924,0.045550217,0.222757614,0.484550254,0.241420305,0.544124528,0.781400586,0.49093881,0.078425412,0.417663935,0,0.115535291,0.310859821,0,0.660781588,1.121319748,0.912717467,0.30340136,0.068228304,0.432179418,0,0,0.075737383,0.181289909,0.348105351,0.99123387,0.061346987,0.092364748,0,0,0.234552274,0,0,0
Thermotogota,Bacteria,49.10327823,138.3673425,29.25336351,85.82572372,38.61971976,243.3165727,20.54606937,17.15985439,14.33887131,20.89526184,16.77835326,12.03043818,12.8140938,12.33611305,83.04092349,10.5280684,11.88781189,12.12083928,59.57693269,5.028338735,13.15483697,0,2.127012925,4.766906956,0,7.478744127,5.446003626,6.70724947,3.765198701,2.372849599,1.604449377,0,3.551713711,1.70656051,0.96183835,471.7702576,8.684916027,7.302096762,1.093050129,2.975894129,1.425793406,2.253420385,6.77176695,5.129815886,1.542721508
Verrucomicrobiota,Bacteria,409.3769893,1677.037997,3690.487591,368.2309171,223.7399855,934.7875478,422.1965385,464.1666078,2349.159126,2467.71019,1487.544901,1351.883909,2090.543922,3165.955219,438.087547,1131.277537,3399.366071,330.339877,495.9136063,543.6033387,429.8065874,0,512.9772154,435.9492389,3900.679186,2692.815136,2949.28031,3096.475446,2163.316452,409.674308,2121.870218,453.0990162,669.2893559,222.7050298,381.6287732,1934.361997,2465.671422,1714.158206,240.0479755,766.0001531,511.1501298,1178.870074,913.1652542,414.0486584,442.4472755
Vulcanimicrobiota,Bacteria,5.380036745,13.52442743,22.84732931,7.563326599,5.564349595,13.54087999,21.31043405,43.00561423,26.10952921,25.26245005,27.13365822,9.574805068,10.66396732,14.44005603,10.37259859,18.86183674,21.2108063,7.159231191,8.763904725,15.65452574,5.006844406,0,11.86865155,6.79875918,1.914360279,10.10851932,15.06086843,17.46886507,10.39122896,7.999268417,26.77870502,17.41964929,69.64311289,5.586550341,5.232476014,18.78784855,19.71071408,21.71634388,8.743608235,26.98230557,11.46071074,17.35699238,6.731852143,2.374250853,19.05433034
