"species","average","overall","sd","ratio","ava","avb","ord","cusum","p","phylum","comparison","mean_amf","mean_control","direction","signed_average"
"Tubulinea",0.00914352680374705,0.195208980108752,0.0109355366374896,0.836129684975943,0.0242257513438963,0.0352380296123345,14,1,0.415,"Tubulinea","CC4_Control",0.0242257513438963,0.0352380296123345,"Control",-0.00914352680374705
"Apicomplexa",0.00834470094048547,0.19146165158651,0.0128069832843419,0.651574282187742,0.034018058069234,0.0224631261374085,4,0.292690266642968,0.975,"Apicomplexa","Cuba8_Control",0.034018058069234,0.0224631261374085,"AMF",0.00834470094048547
"Bacillariophyta",0.00759280981883492,0.19146165158651,0.00532821252299971,1.42502007681936,0.0467991846539055,0.0337307573744893,8,0.467393423474471,0.052,"Bacillariophyta","Cuba8_Control",0.0467991846539055,0.0337307573744893,"AMF",0.00759280981883492
"Cercozoa",0.00996096785899733,0.19146165158651,0.00750183746063888,1.32780374291781,0.0336653421669518,0.0295788400688818,11,0.604670017111458,0.521,"Cercozoa","Cuba8_Control",0.0336653421669518,0.0295788400688818,"AMF",0.00996096785899733
"Ciliophora",0.0560389618547587,0.19146165158651,0.0389375699413036,1.43920028751754,0.294589324913416,0.320286339394937,7,0.686168075444968,0.415,"Ciliophora","Cuba8_Control",0.294589324913416,0.320286339394937,"Control",-0.0560389618547587
"Discosea",0.0115471382412818,0.19146165158651,0.00775033968511795,1.48988801916056,0.0815876870217725,0.091086515517305,5,0.746478524799179,0.981,"Discosea","Cuba8_Control",0.0815876870217725,0.091086515517305,"Control",-0.0115471382412818
"Endomyxa",0.00465135234984855,0.19146165158651,0.00314939030003691,1.47690565688033,0.0243127611859171,0.0193432358249873,16,0.80025178355837,0.574,"Endomyxa","Cuba8_Control",0.0243127611859171,0.0193432358249873,"AMF",0.00465135234984855
"Euglenozoa",0.0156037528496276,0.19146165158651,0.0121119472479934,1.28829432048696,0.0550079567021263,0.0525058765030116,3,0.852277699852613,0.075,"Euglenozoa","Cuba8_Control",0.0550079567021263,0.0525058765030116,"AMF",0.0156037528496276
"Evosea",0.0334489549443368,0.19146165158651,0.0352512465643432,0.94887296774834,0.197710739789596,0.232441429328894,1,0.895861889539366,0.388,"Evosea","Cuba8_Control",0.197710739789596,0.232441429328894,"Control",-0.0334489549443368
"Haptophyta",0.00283145680878631,0.19146165158651,0.00242647659768585,1.16690052213431,0.0120584781444725,0.00724671973799133,2,0.935518968416095,0.003,"Haptophyta","Cuba8_Control",0.0120584781444725,0.00724671973799133,"AMF",0.00283145680878631
"Heterolobosea",0.00250013906532588,0.19146165158651,0.00184907541042708,1.35210227296701,0.0163359302242889,0.0145350829667874,6,0.959812879553422,0.139,"Heterolobosea","Cuba8_Control",0.0163359302242889,0.0145350829667874,"AMF",0.00250013906532588
"Oomycota",0.0262832033419077,0.19146165158651,0.0309556511288672,0.849059941672417,0.158753985883069,0.133818970366363,9,0.974601516261211,0.705,"Oomycota","Cuba8_Control",0.158753985883069,0.133818970366363,"AMF",0.0262832033419077
"Parabasalia",0.000381575202334208,0.19146165158651,0.000335086990950468,1.13873475437491,0.00120385425930635,0.000886153877141728,10,0.987659687673653,0.189,"Parabasalia","Cuba8_Control",0.00120385425930635,0.000886153877141728,"AMF",0.000381575202334208
"Perkinsozoa",0.000968801820568112,0.19146165158651,0.000650213476065043,1.48997499472189,0.00325317686125949,0.00191335401427984,13,0.992719718298796,0.81,"Perkinsozoa","Cuba8_Control",0.00325317686125949,0.00191335401427984,"AMF",0.000968801820568112
