"species","average","overall","sd","ratio","ava","avb","ord","cusum","p","phylum","comparison"
"Tubulinea",0.00875255770935991,0.202515150260996,0.00570461871840042,1.53429320019728,0.0242257513438963,0.0364853794151726,14,1,0.464,"Tubulinea","CC4_Cuba8"
"Apicomplexa",0.0272935093373852,0.19387097149325,0.0223252051242189,1.22254237690191,0.0717143023805274,0.0186253024763402,4,0.288911736782645,0.001,"Apicomplexa","CC4_DAOM197198"
"Bacillariophyta",0.0044828156441908,0.19387097149325,0.00474153661263054,0.945435206015165,0.0328246878171197,0.0285109956095271,11,0.441364026475064,0.943,"Bacillariophyta","CC4_DAOM197198"
"Cercozoa",0.0109522527546177,0.19387097149325,0.00832303724924456,1.3158961598558,0.0455193697718025,0.0278303312990607,1,0.582145852279943,0.196,"Cercozoa","CC4_DAOM197198"
"Ciliophora",0.0560115990858535,0.19387097149325,0.036633933856167,1.52895398309577,0.315170736558327,0.357406517118267,5,0.706286196748291,0.415,"Ciliophora","CC4_DAOM197198"
"Discosea",0.0240672091835854,0.19387097149325,0.0184125138734419,1.30711153018056,0.0686471061672761,0.109913121205769,8,0.803068481259013,0.001,"Discosea","CC4_DAOM197198"
"Endomyxa",0.00426868679603448,0.19387097149325,0.00314506683578409,1.35726425507592,0.0278218346496669,0.028132496498346,3,0.859560965256283,0.837,"Endomyxa","CC4_DAOM197198"
"Euglenozoa",0.00752206924253823,0.19387097149325,0.00557040560408124,1.35036293174541,0.0373218288838317,0.0310511446128284,7,0.898360323327278,0.991,"Euglenozoa","CC4_DAOM197198"
"Evosea",0.0187632755214296,0.19387097149325,0.0151752578304226,1.23643866424555,0.175616915561827,0.157258176016507,16,0.924525834675241,0.999,"Evosea","CC4_DAOM197198"
"Haptophyta",0.0013426587396137,0.19387097149325,0.00115492791930342,1.16254765095947,0.00863228645615715,0.00709180560987673,2,0.947648510595534,0.946,"Haptophyta","CC4_DAOM197198"
"Heterolobosea",0.00175363523589204,0.19387097149325,0.00145774450421701,1.20297845803505,0.0142551292321716,0.013961668261398,6,0.96966669497433,0.95,"Heterolobosea","CC4_DAOM197198"
"Oomycota",0.0295560735090396,0.19387097149325,0.0285157058048706,1.03648402432288,0.171228015028876,0.188693037946825,10,0.978712067896253,0.488,"Oomycota","CC4_DAOM197198"
"Parabasalia",0.000296274548759471,0.19387097149325,0.000202351782566636,1.46415586263445,0.000803499201646498,0.000698870617698236,13,0.987462483171309,0.753,"Parabasalia","CC4_DAOM197198"
"Perkinsozoa",0.00169645151034442,0.19387097149325,0.00223477210024219,0.759116113075051,0.00326560063630197,0.00381083664631972,9,0.994388010645959,0.175,"Perkinsozoa","CC4_DAOM197198"
"Picozoa",0.000138115878524956,0.19387097149325,0.000150777666524241,0.916023451674459,0.000160451887208661,0.000181939795464822,15,0.997759383862686,0.075,"Picozoa","CC4_DAOM197198"
"Preaxostyla",0.000653611400793193,0.19387097149325,0.000615008281444554,1.06276845452872,0.00279248442336395,0.00366143843926199,12,0.999287588660328,0.941,"Preaxostyla","CC4_DAOM197198"
"Tubulinea",0.00507273310464728,0.19387097149325,0.00412887353131351,1.22859977816601,0.0242257513438963,0.0231723178465104,14,1,0.995,"Tubulinea","CC4_DAOM197198"
"Apicomplexa",0.0258887449220063,0.195208980108752,0.0217549889456017,1.19001416119958,0.0717143023805274,0.0224631261374085,4,0.217082148219777,0.001,"Apicomplexa","CC4_Control"
"Bacillariophyta",0.00409376492039732,0.195208980108752,0.00295737578431733,1.3842559143502,0.0328246878171197,0.0337307573744893,8,0.402269944766709,0.981,"Bacillariophyta","CC4_Control"
"Cercozoa",0.0130257329736174,0.195208980108752,0.00923367118931633,1.41067758495544,0.0455193697718025,0.0295788400688818,1,0.53489061061714,0.005,"Cercozoa","CC4_Control"
"Ciliophora",0.0423763847537995,0.195208980108752,0.0305812191687719,1.38569965180042,0.315170736558327,0.320286339394937,11,0.663064254010279,0.99,"Ciliophora","CC4_Control"
"Discosea",0.0153841341339201,0.195208980108752,0.0106148279578125,1.44930602691468,0.0686471061672761,0.091086515517305,5,0.741872791021996,0.698,"Discosea","CC4_Control"
"Endomyxa",0.00540783684487117,0.195208980108752,0.00362494960713078,1.49183779940919,0.0278218346496669,0.0193432358249873,3,0.808599910677868,0.058,"Endomyxa","CC4_Control"
"Euglenozoa",0.0127627836464679,0.195208980108752,0.01025825952616,1.2441470810834,0.0373218288838317,0.0525058765030116,7,0.873980015831625,0.499,"Euglenozoa","CC4_Control"
"Evosea",0.0361503208925138,0.195208980108752,0.0358886549399989,1.00729104930102,0.175616915561827,0.232441429328894,16,0.920819699122082,0.129,"Evosea","CC4_Control"
"Haptophyta",0.00155043478836086,0.195208980108752,0.00131692779913237,1.17731191442867,0.00863228645615715,0.00724671973799133,6,0.948522506861041,0.833,"Haptophyta","CC4_Control"
"Heterolobosea",0.00175833085249046,0.195208980108752,0.00131977526450928,1.33229565652168,0.0142551292321716,0.0145350829667874,2,0.969493698443092,0.95,"Heterolobosea","CC4_Control"
"Oomycota",0.0250206462035975,0.195208980108752,0.0198746397781569,1.25892325510706,0.171228015028876,0.133818970366363,10,0.978501126541486,0.802,"Oomycota","CC4_Control"
"Parabasalia",0.00029754775213436,0.195208980108752,0.000294173227761475,1.01147121510194,0.000803499201646498,0.000886153877141728,9,0.986443562322346,0.769,"Parabasalia","CC4_Control"
"Perkinsozoa",0.00113064808488495,0.195208980108752,0.00177352882775428,0.637513226281543,0.00326560063630197,0.00191335401427984,15,0.992272784890412,0.728,"Perkinsozoa","CC4_Control"
"Picozoa",8.02259436043307e-05,0.195208980108752,0.00018022296418879,0.445148285988078,0.000160451887208661,0,13,0.998064772965218,0.752,"Picozoa","CC4_Control"
"Preaxostyla",0.00113791659233908,0.195208980108752,0.000878196026093899,1.29574327203505,0.00279248442336395,0.00492556927518757,12,0.9995890253432,0.007,"Preaxostyla","CC4_Control"
"Tubulinea",0.00914352680374705,0.195208980108752,0.0109355366374896,0.836129684975943,0.0242257513438963,0.0352380296123345,14,1,0.415,"Tubulinea","CC4_Control"
"Apicomplexa",0.00919216450594697,0.220149322522256,0.0132803545209717,0.692162584321912,0.034018058069234,0.0186253024763402,4,0.325347657856887,0.947,"Apicomplexa","Cuba8_DAOM197198"
"Bacillariophyta",0.00965505551286384,0.220149322522256,0.00681403561352371,1.41693646180857,0.0467991846539055,0.0285109956095271,11,0.497487969266166,0.001,"Bacillariophyta","Cuba8_DAOM197198"
"Cercozoa",0.00715727759506339,0.220149322522256,0.00529738774583496,1.35109566043957,0.0336653421669518,0.0278303312990607,8,0.627672530529803,0.975,"Cercozoa","Cuba8_DAOM197198"
"Ciliophora",0.0716250664613965,0.220149322522256,0.040683208414688,1.76055599478082,0.294589324913416,0.357406517118267,5,0.717493657989105,0.004,"Ciliophora","Cuba8_DAOM197198"
"Discosea",0.0197740603583504,0.220149322522256,0.0157892284373103,1.25237660832267,0.0815876870217725,0.109913121205769,7,0.784977753390269,0.098,"Discosea","Cuba8_DAOM197198"
"Endomyxa",0.00452881386270384,0.220149322522256,0.00349846356820138,1.29451508481255,0.0243127611859171,0.028132496498346,2,0.828834602015763,0.605,"Endomyxa","Cuba8_DAOM197198"
"Euglenozoa",0.0148565778835935,0.220149322522256,0.0134024502960031,1.10849714458736,0.0550079567021263,0.0310511446128284,1,0.87058882774143,0.16,"Euglenozoa","Cuba8_DAOM197198"
"Evosea",0.028660042965047,0.220149322522256,0.0189445775019706,1.51283621722711,0.197710739789596,0.157258176016507,16,0.909737651511264,0.506,"Evosea","Cuba8_DAOM197198"
"Haptophyta",0.0027268113101003,0.220149322522256,0.00239551276488803,1.13829963674928,0.0120584781444725,0.00709180560987673,3,0.942248665004571,0.006,"Haptophyta","Cuba8_DAOM197198"
"Heterolobosea",0.00270273121923508,0.220149322522256,0.00182364914355979,1.4820456164936,0.0163359302242889,0.013961668261398,6,0.96282021985115,0.025,"Heterolobosea","Cuba8_DAOM197198"
"Oomycota",0.0378965729355228,0.220149322522256,0.0349315297608237,1.08488157246478,0.158753985883069,0.188693037946825,9,0.975206409728362,0.074,"Oomycota","Cuba8_DAOM197198"
"Parabasalia",0.000381797601655019,0.220149322522256,0.000321836667384477,1.18630858552519,0.00120385425930635,0.000698870617698236,10,0.987483218888026,0.214,"Parabasalia","Cuba8_DAOM197198"
"Perkinsozoa",0.00150018412346505,0.220149322522256,0.0016041818260575,0.935170875954856,0.00325317686125949,0.00381083664631972,13,0.994297612438174,0.252,"Perkinsozoa","Cuba8_DAOM197198"
"Picozoa",0.000105593497766447,0.220149322522256,8.5290073900661e-05,1.23805142775974,0.000169691678326254,0.000181939795464822,15,0.997786088579164,0.423,"Picozoa","Cuba8_DAOM197198"
"Preaxostyla",0.000767985659073913,0.220149322522256,0.000613989404922228,1.25081255949553,0.00404844903118495,0.00366143843926199,12,0.999520355109175,0.766,"Preaxostyla","Cuba8_DAOM197198"
"Tubulinea",0.008618587030472,0.220149322522256,0.00568488490223557,1.51605303866095,0.0364853794151726,0.0231723178465104,14,1,0.476,"Tubulinea","Cuba8_DAOM197198"
"Apicomplexa",0.00834470094048547,0.19146165158651,0.0128069832843419,0.651574282187742,0.034018058069234,0.0224631261374085,4,0.292690266642968,0.975,"Apicomplexa","Cuba8_Control"
"Bacillariophyta",0.00759280981883492,0.19146165158651,0.00532821252299971,1.42502007681936,0.0467991846539055,0.0337307573744893,8,0.467393423474471,0.052,"Bacillariophyta","Cuba8_Control"
"Cercozoa",0.00996096785899733,0.19146165158651,0.00750183746063888,1.32780374291781,0.0336653421669518,0.0295788400688818,11,0.604670017111458,0.521,"Cercozoa","Cuba8_Control"
"Ciliophora",0.0560389618547587,0.19146165158651,0.0389375699413036,1.43920028751754,0.294589324913416,0.320286339394937,7,0.686168075444968,0.415,"Ciliophora","Cuba8_Control"
"Discosea",0.0115471382412818,0.19146165158651,0.00775033968511795,1.48988801916056,0.0815876870217725,0.091086515517305,5,0.746478524799179,0.981,"Discosea","Cuba8_Control"
"Endomyxa",0.00465135234984855,0.19146165158651,0.00314939030003691,1.47690565688033,0.0243127611859171,0.0193432358249873,16,0.80025178355837,0.574,"Endomyxa","Cuba8_Control"
"Euglenozoa",0.0156037528496276,0.19146165158651,0.0121119472479934,1.28829432048696,0.0550079567021263,0.0525058765030116,3,0.852277699852613,0.075,"Euglenozoa","Cuba8_Control"
"Evosea",0.0334489549443368,0.19146165158651,0.0352512465643432,0.94887296774834,0.197710739789596,0.232441429328894,1,0.895861889539366,0.388,"Evosea","Cuba8_Control"
"Haptophyta",0.00283145680878631,0.19146165158651,0.00242647659768585,1.16690052213431,0.0120584781444725,0.00724671973799133,2,0.935518968416095,0.003,"Haptophyta","Cuba8_Control"
"Heterolobosea",0.00250013906532588,0.19146165158651,0.00184907541042708,1.35210227296701,0.0163359302242889,0.0145350829667874,6,0.959812879553422,0.139,"Heterolobosea","Cuba8_Control"
"Oomycota",0.0262832033419077,0.19146165158651,0.0309556511288672,0.849059941672417,0.158753985883069,0.133818970366363,9,0.974601516261211,0.705,"Oomycota","Cuba8_Control"
"Parabasalia",0.000381575202334208,0.19146165158651,0.000335086990950468,1.13873475437491,0.00120385425930635,0.000886153877141728,10,0.987659687673653,0.189,"Parabasalia","Cuba8_Control"
