"species","average","overall","sd","ratio","ava","avb","ord","cusum","p","phylum","comparison","mean_amf","mean_control","direction","signed_average"
"Nitrososphaerota",0.00339891458558331,0.336191570433455,0.00255275509862353,1.33146912033044,0.00878230720382338,0.00870089323577412,9,0.999512396801907,0.636,"Nitrososphaerota","CC4_Control",0.00878230720382338,0.00870089323577412,"AMF",0.00339891458558331
"Nitrospinota",0.00020035588370424,0.336191570433455,0.000190811665383173,1.05001905047,0.000571774641553271,0.000250972163525804,13,0.999625735942517,0.113,"Nitrospinota","CC4_Control",0.000571774641553271,0.000250972163525804,"AMF",0.00020035588370424
"Nitrospirota",0.00375866847164633,0.336191570433455,0.00343285788395555,1.09490943077299,0.0099659265529405,0.00595127083544773,25,0.999721248664111,0.858,"Nitrospirota","CC4_Control",0.0099659265529405,0.00595127083544773,"AMF",0.00375866847164633
"Planctomycetota",0.0134511626556434,0.336191570433455,0.0110619642913336,1.21598319262173,0.0420339381964047,0.0270877779122109,29,0.999781807461031,0.894,"Planctomycetota","CC4_Control",0.0420339381964047,0.0270877779122109,"AMF",0.0134511626556434
"Promethearchaeota",4.34837275629538e-06,0.336191570433455,3.17835212594012e-06,1.36812177631488,1.0632751195461e-05,7.38183580488526e-06,30,0.999822251837029,0.154,"Promethearchaeota","CC4_Control",1.0632751195461e-05,7.38183580488526e-06,"AMF",4.34837275629538e-06
"Pseudomonadota",0.0329476714305732,0.336191570433455,0.0238355674562862,1.38229020521531,0.257260631000646,0.231759438337991,12,0.999862246307785,0.091,"Pseudomonadota","CC4_Control",0.257260631000646,0.231759438337991,"AMF",0.0329476714305732
"Rhodothermota",9.2343518055167e-05,0.336191570433455,7.96007043460954e-05,1.16008418284425,0.000316318198006905,0.000254682798349121,6,0.999892049751618,0.999,"Rhodothermota","CC4_Control",0.000316318198006905,0.000254682798349121,"AMF",9.2343518055167e-05
"Spirochaetota",9.91562931212663e-05,0.336191570433455,0.000100445186631418,0.987168190399398,0.000343459357757809,0.000178763433419216,4,0.999918425532049,0.526,"Spirochaetota","CC4_Control",0.000343459357757809,0.000178763433419216,"AMF",9.91562931212663e-05
"Synergistota",7.58293542802598e-06,0.336191570433455,8.46504526436154e-06,0.895793842940297,1.87221998664361e-05,1.50625694698538e-05,43,0.999940980932288,0.634,"Synergistota","CC4_Control",1.87221998664361e-05,1.50625694698538e-05,"AMF",7.58293542802598e-06
"Thermodesulfobacteriota",0.0249495270336298,0.336191570433455,0.0239697758199984,1.04087444208861,0.050641760006295,0.000742705939035426,26,0.999962048261439,0.001,"Thermodesulfobacteriota","CC4_Control",0.050641760006295,0.000742705939035426,"AMF",0.0249495270336298
"Thermodesulfobiota",0,0.336191570433455,0,NA,0,0,39,0.999974982472581,NA,"Thermodesulfobiota","CC4_Control",0,0,"Control",0
"Thermomicrobiota",0.00457342956657877,0.336191570433455,0.00827416755819602,0.552735913844111,0.007697191899941,0.0126914406472559,20,0.999983672710948,0.355,"Thermomicrobiota","CC4_Control",0.007697191899941,0.0126914406472559,"Control",-0.00457342956657877
"Thermoplasmatota",0.000221006740921117,0.336191570433455,0.000380239978706919,0.581229626807507,0.000503747337010912,6.98365161684367e-05,18,0.999988310502075,0.663,"Thermoplasmatota","CC4_Control",0.000503747337010912,6.98365161684367e-05,"AMF",0.000221006740921117
"Thermoproteota",0.000101696849072778,0.336191570433455,9.96016913853873e-05,1.02103536253499,0.000255849055447241,7.63892693511314e-05,49,0.999991927767449,0.005,"Thermoproteota","CC4_Control",0.000255849055447241,7.63892693511314e-05,"AMF",0.000101696849072778
"Thermosulfidibacterota",1.21609412673121e-06,0.336191570433455,1.05524798429361e-06,1.15242497008441,1.513578887266e-06,2.21062756570409e-06,22,0.999995177554336,0.998,"Thermosulfidibacterota","CC4_Control",1.513578887266e-06,2.21062756570409e-06,"Control",-1.21609412673121e-06
"Thermotogota",0.000687090552101596,0.336191570433455,0.00103422659165169,0.664352045913162,0.000875781169561768,0.000761332080313313,17,0.999997597403975,0.006,"Thermotogota","CC4_Control",0.000875781169561768,0.000761332080313313,"AMF",0.000687090552101596
"Verrucomicrobiota",0.00754964235183331,0.336191570433455,0.00606085381137136,1.24564006768629,0.0196324984592654,0.0158627825931946,11,1,0.869,"Verrucomicrobiota","CC4_Control",0.0196324984592654,0.0158627825931946,"AMF",0.00754964235183331
"Vulcanimicrobiota",9.85053895181245e-05,0.336191570433455,7.68253893240219e-05,1.28219837718836,0.000299714732682397,0.000238747196882981,45,1,0.373,"Vulcanimicrobiota","CC4_Control",0.000299714732682397,0.000238747196882981,"AMF",9.85053895181245e-05
"Abditibacteriota",0.000234441678301464,0.31857351363518,0.000220368190380208,1.06386351812834,0.000613069167563702,0.000724907884186361,3,0.206668667834584,0.295,"Abditibacteriota","Cuba8_Control",0.000613069167563702,0.000724907884186361,"Control",-0.000234441678301464
"Acidobacteriota",0.0378276813889777,0.31857351363518,0.0248085812572532,1.52478213069593,0.137786650516235,0.10393108238274,8,0.328228424345363,0.551,"Acidobacteriota","Cuba8_Control",0.137786650516235,0.10393108238274,"AMF",0.0378276813889777
"Actinomycetota",0.0658391636703655,0.31857351363518,0.0501614853195635,1.31254414120563,0.211068121944017,0.276733171319453,2,0.446969247954123,0.527,"Actinomycetota","Cuba8_Control",0.211068121944017,0.276733171319453,"Control",-0.0658391636703655
"Aquificota",8.9816811056126e-06,0.31857351363518,6.57453743010811e-06,1.36613126035012,2.42743318747212e-05,1.8243700152442e-05,19,0.53677426708893,0.589,"Aquificota","Cuba8_Control",2.42743318747212e-05,1.8243700152442e-05,"AMF",8.9816811056126e-06
"Armatimonadota",0.00172649508770117,0.31857351363518,0.00120277796216568,1.43542294755093,0.00464322408748099,0.00385836551199255,40,0.62608777640423,0.513,"Armatimonadota","Cuba8_Control",0.00464322408748099,0.00385836551199255,"AMF",0.00172649508770117
