"species","average","overall","sd","ratio","ava","avb","ord","cusum","p","phylum","comparison"
"Preplasmiviricota",1.38590985297015e-05,0.145226150024912,3.16595443332371e-05,0.437754200876221,2.2575096707089e-05,6.79635158921594e-06,2,0.9999676410513,0.567,"Preplasmiviricota","CC4_Control"
"Uroviricota",0.011579722560098,0.145226150024912,0.0120415128019835,0.961650147329538,0.0186131108280397,0.0371497797759731,10,1,0.655,"Uroviricota","CC4_Control"
"Artverviricota",0.00116197852261316,0.153374577524067,0.00110317096241021,1.05330774848757,0.00223088424572441,0.00162307836351796,7,0.403762599839363,0.042,"Artverviricota","Cuba8_DAOM197198"
"Cossaviricota",1.41486010618471e-05,0.153374577524067,2.95147588040971e-05,0.479373765367959,2.82972021236943e-05,0,12,0.720147266694131,0.343,"Cossaviricota","Cuba8_DAOM197198"
"Cressdnaviricota",0.000168870553412946,0.153374577524067,0.000209148928696528,0.807417730826511,0.000308788561947002,9.65976992499417e-05,14,0.833913801403896,0.95,"Cressdnaviricota","Cuba8_DAOM197198"
"Duplornaviricota",0.0013743637626236,0.153374577524067,0.00123518771215145,1.11267603223621,0.00314395204919071,0.00379074391080926,8,0.903717045749391,0.979,"Duplornaviricota","Cuba8_DAOM197198"
"Hofneiviricota",0,0.153374577524067,0,NA,0,0,6,0.959261875481399,NA,"Hofneiviricota","Cuba8_DAOM197198"
"Kitrinoviricota",0.00851916479379299,0.153374577524067,0.00744166024202842,1.14479356981109,0.0226569220300388,0.0327203760851026,9,0.981611222921158,0.338,"Kitrinoviricota","Cuba8_DAOM197198"
"Lenarviricota",0.0619269181703811,0.153374577524067,0.0554505417971265,1.11679554722746,0.816676513003337,0.778909644474012,4,0.990572054532303,0.401,"Lenarviricota","Cuba8_DAOM197198"
"Negarnaviricota",0.0107060431112995,0.153374577524067,0.00981201371343344,1.0911157917199,0.0210179121306698,0.0325850206228125,1,0.998148137487973,0.33,"Negarnaviricota","Cuba8_DAOM197198"
"Nucleocytoviricota",0.00342782172151165,0.153374577524067,0.00247267887144447,1.38627856657715,0.00724146462367681,0.0096502215357424,3,0.999249171023902,0.772,"Nucleocytoviricota","Cuba8_DAOM197198"
"Peploviricota",0,0.153374577524067,0,NA,0,0,11,0.999743628170864,NA,"Peploviricota","Cuba8_DAOM197198"
"Phixviricota",7.58371560190652e-05,0.153374577524067,9.29056285663994e-05,0.816281609513728,6.48731036625687e-05,0.000125524147739778,13,0.999907751328217,0.791,"Phixviricota","Cuba8_DAOM197198"
"Pisuviricota",0.0485253646139427,0.153374577524067,0.0650157670877713,0.746363025270986,0.102718605650364,0.0938876801341914,2,1,0.437,"Pisuviricota","Cuba8_DAOM197198"
"Preplasmiviricota",2.51723199209871e-05,0.153374577524067,7.41082624368493e-05,0.339669546866485,5.03446398419743e-05,0,5,1,0.367,"Preplasmiviricota","Cuba8_DAOM197198"
"Uroviricota",0.0174488941974873,0.153374577524067,0.0257644725970586,0.677246317841543,0.0238614427594234,0.0466111130268223,10,1,0.295,"Uroviricota","Cuba8_DAOM197198"
"Artverviricota",0.00102615193929023,0.132513933063252,0.00100033076094597,1.02581264053086,0.00223088424572441,0.00134020843483188,7,0.390741336871628,0.178,"Artverviricota","Cuba8_Control"
"Cossaviricota",1.41486010618471e-05,0.132513933063252,2.95034828690899e-05,0.4795569772093,2.82972021236943e-05,0,12,0.734102589192963,0.358,"Cossaviricota","Cuba8_Control"
"Cressdnaviricota",0.000288893268863116,0.132513933063252,0.00045473385797154,0.635301866792591,0.000308788561947002,0.000381013896448765,14,0.817026732607347,0.925,"Cressdnaviricota","Cuba8_Control"
"Duplornaviricota",0.00192003663537907,0.132513933063252,0.00213680159762268,0.898556345855986,0.00314395204919071,0.005860578996132,8,0.884780975001789,0.824,"Duplornaviricota","Cuba8_Control"
"Hofneiviricota",6.96207912532783e-05,0.132513933063252,0.000159363127335855,0.4368688818873,0,0.000139241582506557,6,0.943489685902765,0.443,"Hofneiviricota","Cuba8_Control"
"Kitrinoviricota",0.00777972218656181,0.132513933063252,0.0093431100427797,0.832669437793247,0.0226569220300388,0.03177887012357,9,0.972902496192319,0.498,"Kitrinoviricota","Cuba8_Control"
"Lenarviricota",0.0517786713592527,0.132513933063252,0.0582855835531827,0.88836155019375,0.816676513003337,0.807784550842121,4,0.987391815096336,0.723,"Lenarviricota","Cuba8_Control"
