"Species","Genus","Family","VTX_num","TaxLabel","Control_present","n_AMF_present","n_AMF_absent","AMF_present_in","AMF_absent_in","Status","Status_strict"
"VTX00295","Glomus","Glomeraceae",295,"Glomus VTX00295",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00301","Glomus","Glomeraceae",301,"Glomus VTX00301",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00304","Glomus","Glomeraceae",304,"Glomus VTX00304",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00305","Glomus","Glomeraceae",305,"Glomus VTX00305",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00312","Glomus","Glomeraceae",312,"Glomus VTX00312",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00315","Glomus","Glomeraceae",315,"Glomus VTX00315",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00329","Glomus","Glomeraceae",329,"Glomus VTX00329",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00331","Glomus","Glomeraceae",331,"Glomus VTX00331",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00332","Glomus","Glomeraceae",332,"Glomus VTX00332",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00342","Glomus","Glomeraceae",342,"Glomus VTX00342",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00345","Glomus","Glomeraceae",345,"Glomus VTX00345",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00362","Glomus","Glomeraceae",362,"Glomus VTX00362",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00366","Glomus","Glomeraceae",366,"Glomus VTX00366",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00367","Glomus","Glomeraceae",367,"Glomus VTX00367",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00370","Glomus","Glomeraceae",370,"Glomus VTX00370",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00372","Glomus","Glomeraceae",372,"Glomus VTX00372",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00385","Glomus","Glomeraceae",385,"Glomus VTX00385",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00387","Glomus","Glomeraceae",387,"Glomus VTX00387",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00396","Glomus","Glomeraceae",396,"Glomus VTX00396",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00403","Glomus","Glomeraceae",403,"Glomus VTX00403",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00409","Glomus","Glomeraceae",409,"Glomus VTX00409",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00439","Glomus","Glomeraceae",439,"Glomus VTX00439",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00281","Paraglomus","Paraglomeraceae",281,"Paraglomus VTX00281",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00308","Paraglomus","Paraglomeraceae",308,"Paraglomus VTX00308",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00348","Paraglomus","Paraglomeraceae",348,"Paraglomus VTX00348",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00446","Paraglomus","Paraglomeraceae",446,"Paraglomus VTX00446",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
