"AMF","Species","MeanRelAbundance","RNA_Control","ChangeFromControl","AbsChange","Genus","Family","VTX_num","TaxLabel"
"DAOM197198","VTX00197",0.00455681435052196,0.000520020800832033,0.00403679354968993,0.00403679354968993,"Glomus","Glomeraceae",197,"Glomus VTX00197"
"DAOM197198","VTX00199",0.00685768418945683,0.00132978249728418,0.00552790169217265,0.00552790169217265,"Glomus","Glomeraceae",199,"Glomus VTX00199"
"DAOM197198","VTX00219",0.00134367895161339,0.000712922058261432,0.000630756893351956,0.000630756893351956,"Glomus","Glomeraceae",219,"Glomus VTX00219"
"DAOM197198","VTX00329",0.00879046201927992,0.00750287341885668,0.00128758860042324,0.00128758860042324,"Glomus","Glomeraceae",329,"Glomus VTX00329"
"DAOM197198","VTX00332",0.00598718401764407,0.00208501521677776,0.00390216880086631,0.00390216880086631,"Glomus","Glomeraceae",332,"Glomus VTX00332"
"DAOM197198","VTX00342",0.0120202547322082,0.0105798677013452,0.00144038703086309,0.00144038703086309,"Glomus","Glomeraceae",342,"Glomus VTX00342"
"DAOM197198","VTX00356",0.0144206360352987,0.0136168800481648,0.000803755987133926,0.000803755987133926,"Diversispora","Diversisporaceae",356,"Diversispora VTX00356"
"DAOM197198","VTX00367",0.000840993737748131,0.000427156764865657,0.000413836972882474,0.000413836972882474,"Glomus","Glomeraceae",367,"Glomus VTX00367"
"DAOM197198","VTX00370",0.010610911076972,0.00826437149809928,0.00234653957887276,0.00234653957887276,"Glomus","Glomeraceae",370,"Glomus VTX00370"
"DAOM197198","VTX00372",0.00124587979223228,0.000892928867633771,0.000352950924598504,0.000352950924598504,"Glomus","Glomeraceae",372,"Glomus VTX00372"
"DAOM197198","VTX00385",0.00808710435347844,0.00695177680332049,0.00113532755015794,0.00113532755015794,"Glomus","Glomeraceae",385,"Glomus VTX00385"
"DAOM197198","VTX00396",0.00106141100881928,0.000267527418289826,0.000793883590529454,0.000793883590529454,"Glomus","Glomeraceae",396,"Glomus VTX00396"
"DAOM197198","VTX00403",0.0218150223342872,0.00646059142039812,0.0153544309138891,0.0153544309138891,"Glomus","Glomeraceae",403,"Glomus VTX00403"
