"Sample","AMF","Fert","Till","Family","Genus","Species","Metabarcoding","RNA_taxonomy","detected_metabar","detected_rna","detection_class"
"125","Control","High","No","Paraglomeraceae","Paraglomus","VTX00335",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Paraglomeraceae","Paraglomus","VTX00337",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Paraglomeraceae","Paraglomus","VTX00348",0.400870960348384,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Paraglomeraceae","Paraglomus","VTX00350",0.00641760256704103,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Paraglomeraceae","Paraglomus","VTX00352",0.0192528077011231,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Paraglomeraceae","Paraglomus","VTX00375",0.000458400183360073,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Paraglomeraceae","Paraglomus","VTX00435",0.000229200091680037,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Paraglomeraceae","Paraglomus","VTX00446",0.0114600045840018,0.0331031197904263,TRUE,TRUE,"Both"
"125","Control","High","No","Unassigned","Unassigned","Unassigned",0.000229200091680037,0,TRUE,FALSE,"Metabarcoding_only"
"128","Control","High","Till","Acaulosporaceae","Acaulospora","VTX00231",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Acaulosporaceae","Acaulospora","VTX00328",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Acaulosporaceae","Acaulospora","VTX00379",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Claroideoglomeraceae","Claroideoglomus","VTX00056",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Claroideoglomeraceae","Claroideoglomus","VTX00057",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Claroideoglomeraceae","Claroideoglomus","VTX00193",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Claroideoglomeraceae","Claroideoglomus","VTX00237",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Claroideoglomeraceae","Claroideoglomus","VTX00276",0.000458400183360073,0,TRUE,FALSE,"Metabarcoding_only"
"128","Control","High","Till","Claroideoglomeraceae","Claroideoglomus","VTX00341",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Claroideoglomeraceae","Claroideoglomus","VTX00358",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Claroideoglomeraceae","Claroideoglomus","VTX00402",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Diversisporaceae","Diversispora","VTX00058",0.0261288104515242,0,TRUE,FALSE,"Metabarcoding_only"
"128","Control","High","Till","Diversisporaceae","Diversispora","VTX00062",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Diversisporaceae","Diversispora","VTX00263",0.101077240430896,0,TRUE,FALSE,"Metabarcoding_only"
"128","Control","High","Till","Diversisporaceae","Diversispora","VTX00306",0.0540912216364887,0,TRUE,FALSE,"Metabarcoding_only"
"128","Control","High","Till","Diversisporaceae","Diversispora","VTX00356",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Diversisporaceae","Diversispora","VTX00401",0.00183360073344029,0,TRUE,FALSE,"Metabarcoding_only"
"128","Control","High","Till","Gigasporaceae","Scutellospora","VTX00052",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Gigasporaceae","Scutellospora","VTX00255",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Gigasporaceae","Scutellospora","VTX00260",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00063",0.0770112308044923,0,TRUE,FALSE,"Metabarcoding_only"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00064",0.000229200091680037,0,TRUE,FALSE,"Metabarcoding_only"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00077",0.00137520055008022,0,TRUE,FALSE,"Metabarcoding_only"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00085",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00089",0,0,FALSE,FALSE,"Neither"
"128","Control","High","Till","Glomeraceae","Glomus","VTX00092",0,0,FALSE,FALSE,"Neither"
