Sample,AMF,Fert,Till,Family,Genus,Species,Metabarcoding,RNA_taxonomy,detected_metabar,detected_rna,detection_class
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00395,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00397,9,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00398,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00399,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00407,1,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00409,2,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00411,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00412,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00415,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00418,16,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00419,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00420,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00423,16,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00437,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Paraglomeraceae,Paraglomus,VTX00238,1,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Paraglomeraceae,Paraglomus,VTX00281,2326,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Paraglomeraceae,Paraglomus,VTX00308,8,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Paraglomeraceae,Paraglomus,VTX00335,4,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Paraglomeraceae,Paraglomus,VTX00337,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Paraglomeraceae,Paraglomus,VTX00348,333,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Paraglomeraceae,Paraglomus,VTX00350,28,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Paraglomeraceae,Paraglomus,VTX00352,6,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Paraglomeraceae,Paraglomus,VTX00375,2,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Paraglomeraceae,Paraglomus,VTX00435,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Paraglomeraceae,Paraglomus,VTX00446,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Unassigned,Unassigned,Unassigned,30,0,TRUE,FALSE,Metabarcoding_only
117,Control,No,Till,Acaulosporaceae,Acaulospora,VTX00231,0,0,FALSE,FALSE,Neither
117,Control,No,Till,Acaulosporaceae,Acaulospora,VTX00328,0,0,FALSE,FALSE,Neither
